rel	train	cq-tp	cq-fp	cq-total	cq-prec	cq-recall	cq-f1	cq-mae	tp	fp	total	prec	recall	f1	pred=num	pred>num	pred<num	num	missing	increase
P527_Q7725310	0	29	30	100	0.4915	0.2900	0.3648	4.9711	77	117	347	0.3969	0.2219	0.2847	29	4	26	659	13	1.97%
P527_Q7725310_relaxed	0	55	4	100	0.9322	0.5500	0.6918	4.9711	77	117	347	0.3969	0.2219	0.2847	29	4	26	659	13	1.97%
P527_Q2088357	0	18	10	100	0.6429	0.1800	0.2812	2.3452	51	22	174	0.6986	0.2931	0.4130	18	0	10	493	0	0.00%
P527_Q2088357_relaxed	0	28	0	100	1.0000	0.2800	0.4375	2.3452	51	22	174	0.6986	0.2931	0.4130	18	0	10	493	0	0.00%
P150	0	44	12	192	0.7857	0.2292	0.3548	5.2474	33	48	52	0.4074	0.6346	0.4962	44	1	11	3417	1	0.03%
P150_relaxed	0	55	1	192	0.9821	0.2865	0.4435	5.2474	33	48	52	0.4074	0.6346	0.4962	44	1	11	3417	1	0.03%
P40	0	38	28	200	0.5758	0.1900	0.2857	3.5971	38	70	628	0.3519	0.0605	0.1033	38	2	26	727	3	0.41%
P40_relaxed	0	64	2	200	0.9697	0.3200	0.4812	3.5971	38	70	628	0.3519	0.0605	0.1033	38	2	26	727	3	0.41%
P26	0	23	19	197	0.5476	0.1168	0.1925	0.9258	25	37	496	0.4032	0.0504	0.0896	23	10	9	281	13	4.63%
P26_relaxed	0	32	10	197	0.7619	0.1624	0.2678	0.9258	25	37	496	0.4032	0.0504	0.0896	23	10	9	281	13	4.63%
